Start link: ,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6441655398825984,,,Total Tasks:,380,WIP:,54,,,,,,,,,
,,,,Tasks Completed:,30,Need Help:,1,,,,,,,,,
,,,,Tasks Remaining:,0,,,,,,,,,,,
Nuc Coords,Nuc ID,Soma Coords,OG Segment ID (Soma),"Segment ID (Soma, last update 202504110923)",Cell Type,EyeWire1 type (for RGCs),Proofreader,Date Started,Temp Link,Status,Date Completed,Final Link,Final SegID,CA Imaged,Cell Class,Notes
"35127.0,16982.0,769.0",720575940543485509,"35127.0,16982.0,829.0",720575940550175837,720575940565173680,OFF tr. SmRF,4i,Greg,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5401493709520896,First pass,,,,yes,RGC,
"37002.0,14487.0,1034.0",720575940559857389,"37002.0,14487.0,1134.0",720575940553988701,720575940563314416,On tr. SmRF,6sn,Greg,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6439447718526976,First pass,,,,yes,RGC,
"33861.0,18451.0,823.0",720575940573659400,"33861.0,18451.0,923.0",720575940553687901,720575940559084387,HD2,5so,,,,First pass,,,,yes,RGC,
"35034.0,17712.0,785.0",720575940540557130,"35034.0,17712.0,880.0",720575940576301464,720575940570492705,,,,,,WIP,,,,yes,AC,
"35354.0,17492.0,793.0",720575940560615961,"35354.0,17492.0,803.0",720575940559256156,720575940559256156,ON DS sus,"7iv,r,d",,,,First pass,,,,yes,RGC,
"35782.0,16760.0,951.0",720575940561053779,"35782.0,16760.0,1016.0",720575940549996893,720575940565797281,WFAC,,,,,First pass,,,,yes,AC,
"36498.0,15710.0,903.0",720575940569375869,"36498.0,15710.0,928.0",720575940572704152,720575940559700616,OFF tr. MeRF,4ow?,,,,First pass,,,,yes,RGC,
"37362.0,14395.0,1104.0",720575940549199434,"37362.0,14395.0,1124.0",720575940570550169,720575940570550169,,,,,,WIP,,,,yes,RGC,
"36954.0,15352.0,1027.0",720575940560403181,"36954.0,15352.0,1087.0",720575940572677528,720575940558481501,HD1?,5si?,,,,First pass,,,,yes,RGC,
"35274.0,18413.0,804.0",720575940561995110,"35274.0,18413.0,809.0",720575940577784728,720575940577784728,,,,,,Neurites cut off,,,,yes,RGC,
"36323.0,16443.0,952.0",720575940576220214,"36323.0,16443.0,1012.0",720575940558625333,720575940557280728,HD1?,5si?,Greg,,,Complete,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5547024515596288,720575940557280728,yes,RGC,
"35763.0,18077.0,786.0",720575940560715545,"35763.0,18077.0,836.0",720575940567425333,720575940567938810,,,,,,Neurites cut off,,,,yes,RGC,
"36241.0,17698.0,828.0",720575940555082820,"36241.0,17698.0,883.0",720575940576560438,720575940584911126,OODS Hb9,37d,,,,First pass,,,,yes,RGC,
"36261.0,17008.0,882.0",720575940541102785,"36261.0,17008.0,972.0",720575940571143537,720575940571143537,Fmini OFF,2an,,,,Neurites cut off,,,,yes,RGC,
"36901.0,16226.0,1001.0",720575940561556285,"36901.0,16226.0,1051.0",720575940551302748,720575940575803822,UHD,5ti,,,,First pass,,,,yes,RGC,
"35260.0,19062.0,821.0",720575940537107413,"35260.0,19062.0,881.0",720575940577582589,720575940584992278,SAC,,,,,WIP,,,,yes,AC,
"37628.0,16160.0,1018.0",720575940559606591,"37628.0,16160.0,1023.0",720575940577098550,720575940577098550,,,,,,Neurites cut off,,,,yes,RGC,
"38096.0,15181.0,1016.0",720575940572009658,"38096.0,15181.0,1036.0",720575940577854717,720575940577854717,,,,,,Neurites cut off,,,,yes,RGC,
"36880.0,17227.0,988.0",720575940554151290,"36880.0,17227.0,1028.0",720575940562128025,720575940562128025,,,,,,Neurites cut off,,,,yes,RGC,
"37747.0,15701.0,1011.0",720575940572081082,"37747.0,15701.0,1036.0",720575940578351158,720575940567494294,ON delayed,73,,,,Neurites cut off,,,,yes,RGC,
"35866.0,18756.0,830.0",720575940572805896,"36102.0,19050.0,853.0",720575940561710305,720575940561710305,Fmini OFF,2an,,,,Neurites cut off,,,,yes,RGC,
"35932.0,19449.0,736.0",720575940552583180,"35932.0,19449.0,791.0",720575940558841948,720575940553129766,ON tr. MeRF,6sn,,,,First pass,,,,yes,RGC,"Same cell, Ca field overlap! (01)"
"36789.0,18021.0,891.0",720575940574185157,"36789.0,18021.0,951.0",720575940577701629,720575940577701629,SAC,,,,,WIP,,,,yes,AC,
"36727.0,18662.0,838.0",720575940572045509,"36697.0,18602.0,904.0",720575940578900376,720575940578900376,SAC,,,,,WIP,,,,yes,AC,
"36550.0,19072.0,820.0",720575940546942120,"36550.0,19072.0,890.0",720575940577699837,720575940577699837,SAC,,,,,WIP,,,,yes,AC,
